symbol,direction,entry_date,exit_date,entry_price,exit_price,pnl_pct,bars
MA0,long,2020-10-21,2020-12-08,2110.0,2227.0,0.055450236966824606,34
MA0,long,2020-12-11,2020-12-30,2435.0,2366.0,-0.028336755646817258,13
MA0,long,2021-07-30,2021-08-05,2769.0,2619.0,-0.054171180931744334,4
MA0,long,2021-08-16,2021-10-22,2847.0,3263.0,0.1461187214611872,42
MA0,short,2021-12-31,2022-01-10,2478.0,2614.0,-0.0520275439938791,5
MA0,long,2022-02-28,2022-03-17,2895.0,2928.0,0.011398963730570033,13
MA0,short,2022-08-17,2022-08-24,2412.0,2529.0,-0.0462633451957295,5
MA0,long,2022-09-29,2022-10-17,2815.0,2667.0,-0.05257548845470694,7
MA0,short,2022-12-06,2022-12-16,2502.0,2567.0,-0.025321386832878878,8
MA0,short,2022-12-23,2022-12-29,2495.0,2568.0,-0.028426791277258556,4
MA0,short,2023-03-06,2023-06-20,2602.0,2080.0,0.25096153846153846,72
MA0,long,2023-07-28,2023-09-25,2298.0,2480.0,0.0791993037423846,41
MA0,short,2024-01-03,2024-01-24,2404.0,2439.0,-0.014350143501435042,15
MA0,long,2024-03-15,2024-03-27,2565.0,2485.0,-0.031189083820662766,8
MA0,long,2024-04-17,2024-04-25,2527.0,2494.0,-0.013058963197467355,6
MA0,long,2024-04-30,2024-06-05,2558.0,2573.0,0.005863956215793609,23
MA0,short,2024-07-18,2024-08-22,2525.0,2507.0,0.007179896290386845,25
MA0,short,2024-09-04,2024-09-30,2408.0,2525.0,-0.04633663366336638,16
MA0,long,2024-12-12,2025-01-08,2631.0,2601.0,-0.011402508551881407,18
MA0,short,2025-03-12,2025-05-15,2526.0,2320.0,0.08879310344827585,42
MA0,short,2025-05-28,2025-06-06,2206.0,2264.0,-0.025618374558303847,6
MA0,long,2025-07-22,2025-08-04,2457.0,2390.0,-0.027269027269027246,9
MA0,long,2025-08-12,2025-08-19,2496.0,2391.0,-0.04206730769230771,5
MA0,short,2025-09-12,2025-11-28,2379.0,2135.0,0.11428571428571432,49
MA0,long,2026-01-26,2026-02-09,2347.0,2231.0,-0.049424797613975335,10
MA0,long,2026-03-02,2026-04-16,2365.0,2908.0,0.22959830866807618,32
NI0,short,2015-08-24,2015-09-14,76800.0,78260.0,-0.018655762841809365,14
