direction,entry_date,exit_date,entry_price,exit_price,pnl_pct,bars,pnl%
long,2024-07-01 13:45:00,2024-07-02 10:15:00,1542.0,1521.7497,-0.01313249027237351,18,-1.31
long,2024-07-02 13:45:00,2024-07-03 11:15:00,1540.9045,1524.8698,-0.010406031003219351,21,-1.04
long,2024-07-03 21:15:00,2024-07-04 14:00:00,1573.0,1565.0,-0.005085823267641398,18,-0.51
short,2024-07-05 14:45:00,2024-07-09 10:15:00,1504.6445,1491.9394,0.008515828457911878,37,0.85
short,2024-07-11 10:00:00,2024-07-11 11:00:00,1455.941,1473.9069,-0.012189304494062636,3,-1.22
short,2024-07-11 15:00:00,2024-07-12 11:00:00,1464.8651,1470.8677,-0.004080992464515987,15,-0.41
short,2024-07-15 13:45:00,2024-07-15 15:00:00,1437.8813,1455.9237,-0.012392407651582338,5,-1.24
short,2024-07-15 21:45:00,2024-07-16 10:15:00,1441.925,1454.9346,-0.00894170775786074,10,-0.89
short,2024-07-22 09:15:00,2024-07-22 11:30:00,1420.9524,1437.9407,-0.011814325861977615,8,-1.18
short,2024-07-23 11:00:00,2024-07-23 21:45:00,1418.9414,1421.912,-0.002089158822768278,11,-0.21
short,2024-07-30 21:45:00,2024-07-30 23:00:00,1330.471,1352.4797,-0.01627285052781202,5,-1.63
long,2024-07-31 22:15:00,2024-08-01 10:15:00,1381.4811,1361.5647,-0.01441670103195769,8,-1.44
short,2024-08-06 09:15:00,2024-08-07 11:15:00,1338.588,1325.5725,0.009818776415473351,30,0.98
short,2024-08-07 14:45:00,2024-08-08 21:45:00,1310.6386,1322.5429,-0.009001069076851831,27,-0.9
short,2024-08-12 21:15:00,2024-08-14 21:15:00,1270.7157,1251.8783,0.015047309311136514,46,1.5
short,2024-08-15 13:45:00,2024-08-15 21:30:00,1232.1495,1249.1254,-0.013590228811294569,7,-1.36
short,2024-08-20 09:45:00,2024-08-20 14:30:00,1231.28,1242.2728,-0.008848942035919904,10,-0.88
short,2024-08-23 21:30:00,2024-08-26 22:30:00,1156.8207,1136.1845,0.018162719171050057,27,1.82
short,2024-08-27 09:45:00,2024-08-27 14:30:00,1118.2027,1129.1315,-0.00967894350657994,10,-0.97
long,2024-08-28 15:00:00,2024-08-28 21:45:00,1145.8867,1124.2687,-0.018865739518575397,3,-1.89
short,2024-09-04 13:45:00,2024-09-04 21:45:00,1045.7885,1066.0939,-0.019046539896720116,8,-1.9
short,2024-09-06 21:15:00,2024-09-09 22:45:00,1036.5938,1021.0,0.015273065621939308,29,1.53
short,2024-09-10 10:45:00,2024-09-11 14:00:00,1009.7058,1003.0132,0.00667249443975404,28,0.67
short,2024-09-11 22:30:00,2024-09-12 22:45:00,990.0048,981.5052,0.008659760539220906,24,0.87
short,2024-09-13 11:30:00,2024-09-18 21:45:00,974.5907,956.1459,0.019290779785804624,24,1.93
